,SubBasin:,30,36,39,43,
time,day,maximum,maximum,maximum,maximum,
318,2003-08-14,0,0,0,0,
319,2003-08-15,0.6,0,0,0,
320,2003-08-16,2,1.68102,2,2,
321,2003-08-17,0,0,0,0,
322,2003-08-18,0,0,0,0,
323,2003-08-19,0,0,0,0,
324,2003-08-20,0,0.0800639,0.1,0.1,
325,2003-08-21,6.4,0.578786,0.2,0.2,
326,2003-08-22,0,0,0,0,
327,2003-08-23,0,0,0,0,
328,2003-08-24,0.4,0,0,0,
329,2003-08-25,6.8,0,0,0,
330,2003-08-26,0,4.76141,5.2,5.2,
331,2003-08-27,0,0,0,0,
332,2003-08-28,1,0,0,0,
333,2003-08-29,1.4,0.160128,0.2,0.2,
334,2003-08-30,0,0,0,0,
335,2003-08-31,0,0,0,0,
336,2003-09-01,1,0.399681,0.3,0.3,
337,2003-09-02,0,0.0800639,0.1,0.1,
338,2003-09-03,0,0,0,0,
339,2003-09-04,0,0,0,0,
340,2003-09-05,0,0,0,0,
341,2003-09-06,0,0,0,0,
342,2003-09-07,0,0,0,0,
343,2003-09-08,0,0,0,0,
344,2003-09-09,0,0,0,0,
345,2003-09-10,0,0,0,0,
346,2003-09-11,0,0,0,0,
347,2003-09-12,0,0,0,0,
348,2003-09-13,0,0,0,0,
349,2003-09-14,9.4,2.91259,0.6,0.6,
350,2003-09-15,10,8.50319,9.5,9.5,
351,2003-09-16,0,0.0800639,0.1,0.1,
352,2003-09-17,0,0,0,0,
353,2003-09-18,2.8,2.4354,1,1,
354,2003-09-19,16.4,24.8456,26.6,26.6,
355,2003-09-20,0,0,0,0,
356,2003-09-21,0,0.0800639,0.1,0.1,
357,2003-09-22,21.2,21.8762,20.7,20.7,
358,2003-09-23,0.6,0,0,0,
359,2003-09-24,11.8,6.03412,4.2,4.2,
360,2003-09-25,0,0.560447,0.7,0.7,
361,2003-09-26,10.8,5.99361,4,4,
362,2003-09-27,0.6,12.49,15.6,15.6,
363,2003-09-28,0,0.999361,0.8,0.8,
364,2003-09-29,0.6,0.478467,0,0,
365,2003-09-30,5,0.839234,0.6,0.6,
366,2003-10-01,5.8,4.19681,3.2,3.2,
367,2003-10-02,2.8,0.619617,0.5,0.5,
368,2003-10-03,12.4,11.799,11.5,11.5,
369,2003-10-04,7.8,6.07943,5.9,5.9,
370,2003-10-05,1.4,2.07815,1.5,1.5,
371,2003-10-06,0,0,0,0,
372,2003-10-07,0,0.0800639,0.1,0.1,
373,2003-10-08,0,0,0,0,
374,2003-10-09,0,0,0,0,
375,2003-10-10,0,0,0,0,
376,2003-10-11,0,0,0,0,
377,2003-10-12,1.2,0.239234,0,0,
378,2003-10-13,0,0,0,0,
379,2003-10-14,34.8,35.3971,34.5,34.5,
380,2003-10-15,1.2,4.04307,5,5,
381,2003-10-16,0,0,0,0,
382,2003-10-17,0,0,0,0,
383,2003-10-18,4,0.919936,0.9,0.9,
384,2003-10-19,0,0,0,0,
385,2003-10-20,0,0,0,0,
386,2003-10-21,0.6,0.139872,0.1,0.1,
387,2003-10-22,0,0.320255,0.4,0.4,
388,2003-10-23,0,0.119617,0,0,
389,2003-10-24,0.4,0,0,0,
390,2003-10-25,13.6,6.47432,4.7,4.7,
391,2003-10-26,1.6,10.0054,11.7,11.7,
392,2003-10-27,0.6,1.1177,0.4,0.4,
393,2003-10-28,3.8,3.31706,2.4,2.4,
394,2003-10-29,0.8,1.52121,1.9,1.9,
395,2003-10-30,0,0,0,0,
396,2003-10-31,0.4,0,0,0,
397,2003-11-01,8.4,2.31259,0,0,
398,2003-11-02,16.8,5.70173,0,0,
399,2003-11-03,16.6,9.83764,9.1,9.1,
400,2003-11-04,1.2,0.839553,0.7,0.7,
401,2003-11-05,0.4,0.159808,0.1,0.1,
402,2003-11-06,0,0,0,0,
403,2003-11-07,0.2,0,0,0,
404,2003-11-08,0,0,0,0,
405,2003-11-09,0,0,0,0,
406,2003-11-10,6.2,1.67464,0,0,
407,2003-11-11,1,5.40319,6.4,6.4,
408,2003-11-12,7.8,6.47687,5.5,5.5,
409,2003-11-13,9,2.43955,2.3,2.3,
410,2003-11-14,0.2,0.800639,1,1,
411,2003-11-15,1.8,2.51451,0.8,0.8,
412,2003-11-16,2.6,3.75981,3.7,3.7,
413,2003-11-17,0,0.800319,0.9,0.9,
414,2003-11-18,15,11.229,7.8,7.8,
415,2003-11-19,5,9.8823,10.6,10.6,
416,2003-11-20,0,0,0,0,
417,2003-11-21,0,0,0,0,
418,2003-11-22,0,0,0,0,
419,2003-11-23,0,0,0,0,
